title,year,director,runtime,cast
Rosemary's Baby,1968,Roman Polanski,138,"['Mia Farrow', 'John Cassavetes', 'Ruth Gordon', 'Sidney Blackmer', 'Maurice Evans', 'Ralph Bellamy', 'Victoria Vetri', 'Patsy Kelly', 'Elisha Cook Jr.', 'Emmaline Henry', 'Charles Grodin', 'Hanna Landy', 'Phil Leeds', ""D'Urville Martin"", 'Hope Summers', 'Marianne Gordon', 'Wende Wagner', 'William Castle', 'Tony Curtis', 'Clay Tanner']"
The Man Who Killed Don Quixote,2018,Terry Gilliam,133,"['Adam Driver', 'Jonathan Pryce', 'Stellan Skarsgård', 'Jordi Mollà', 'Joana Ribeiro', 'Óscar Jaenada', 'Olga Kurylenko', 'Rossy de Palma', 'Sergi López', 'Paloma Bloyd', 'Lídia Franco', 'Bruno Schiappa', 'Terry Gilliam', 'Jason Watkins', ""Maria d'Aires"", 'Jorge Calvo', 'Jimmy Castro', 'Viveka Rytzner', 'Alberto Jo Lee', 'José Luis Ferrer', 'Ismael Fritschi', 'Juan López-Tagle', 'Filipa Pinto', 'Diogo Andrade', 'Joe Manjón']"
Bathtubs Over Broadway,2018,Dava Whisenant,87,"['Steve Young', 'Martin Short', 'Florence Henderson', 'David Letterman', 'Chita Rivera', 'Sheldon Harnick', 'Susan Stroman', 'Jello Biafra', 'Willi Burke', 'Don Bolles', 'Hank Beebe', 'Sid Siegel', 'Peter Shawn', 'Melody Rogers']"
Monty Python and the Holy Grail,1975,Terry Jones,91,"['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam', 'Terry Jones', 'Michael Palin', 'Connie Booth', 'Carol Cleveland', 'Neil Innes', 'Bee Duffell', 'John Young', 'Rita Davies', 'Avril Stewart', 'Sally Kinghorn', 'Mark Zycon', 'Elspeth Cameron', 'Mitsuko Forstater', 'Sandy Johnson', 'Sandy Rose', 'Romilly Squire', 'Joni Flynn', 'Alison Walker', 'Loraine Ward', 'Anna Lanski', 'Sally Coombe', 'Vivienne MacDonald', 'Yvonne Dick', 'Daphne Darling', 'Fiona Gordon', 'Judy Lamb', 'Tracy Sneddon', 'Joyce Pollner', 'Mary Allen', 'Gloria Graham', 'Sylvia Taylor', 'Iain Banks', 'Julian Doyle', 'Margarita Doyle', 'Charles Knode', 'Zack Matalon', 'Scott Mike', 'William Palin', 'Terry Jones', 'Tom Raeburn', 'Brian Ross', 'Roy Forge Smith', 'John Thornton', 'Maggie Weston']"
What We Do in the Shadows,2014,Jemaine Clement,86,"['Taika Waititi', 'Jemaine Clement', 'Jonny Brugh', 'Cori Gonzalez-Macuer', 'Stu Rutherford', 'Ben Fransham', 'Jackie van Beek', 'Elena Stejko', 'Jason Hoyte', ""Karen O'Leary"", 'Mike Minogue', 'Chelsie Preston Crayford', 'Ian Harcourt', 'Ethel Robinson', 'Brad Harding', 'Isaac Heron', 'Yvette Parsons', 'Madeleine Sami', 'Aaron Jackson', 'Morgana Hills', 'Morag Hills', 'Frank Habicht', 'Moose Kapua', 'Denis Welch', 'Mario Gaoa', 'Kura Forrester', 'Luke Bonjers', 'Rhys Darby', 'Simon Vincent', 'Cohen Holloway', 'Duncan Sarkies', 'Nathan Meister', 'Tanemahuta Gray', 'Nathan Gray', 'Ruby Vincent', 'Jaxon Cook', 'Matthew Harvey-White', 'Matt Dravitzki', 'Roland Hunter', 'Stan Alley', 'Lucy Marinkavich', 'Melanie Hamilton', 'Ana Flaherty', 'Aaron Lewis', 'Belle Gwilliam', 'Rodney Cook', 'Jennifer Martin', 'Emma Draper', 'Natalie Crane', 'Emma Smith']"
The Death of Stalin,2017,Armando Iannucci,107,"['Steve Buscemi', 'Simon Russell Beale', 'Jeffrey Tambor', 'Michael Palin', 'Paul Chahidi', 'Jason Isaacs', 'Andrea Riseborough', 'Dermot Crowley', 'Paul Whitehouse', 'Rupert Friend', 'Olga Kurylenko', 'Paddy Considine', 'Adrian McLoughlin', 'Tom Brooke', 'Sylvestra Le Touzel', 'Justin Edwards', 'Paul Ready', 'Yulya Muhrygina', 'Andrey Korzhenevskiy', 'Roger Ashton-Griffiths', 'Jeremy Limb', 'Andy Gathergood', 'Alexander Piskunov', 'Ruslav Neupokoev', 'Alla Binieieva', 'Nicholas Woodeson', 'Elaine Caxton', 'George Potts', 'Cara Horgan', 'Nicholas Sidi', 'Jonny Phillips', 'Alex Harvey-Brown', 'Tim Steed', 'June Watson', 'Adam Shaw', 'Daniel Tuite', 'David Crow', 'Karl Johnson', 'Emilio Iannucci', 'Daniel Booroff', 'Dan Mersh', 'Richard Brake', 'James Barriscale', 'Daniel Tatarsky', 'Ricky Gabbriellini', 'Eva Sayer', 'Diana Quick', 'Adam Ewan', 'Michael Ballard', 'Phil Deguara', 'Jonathan Aris', 'Katie McCreedy', 'Ewan Bailey', 'Leeroy Murray', 'Keely Smith', 'Sheng-Chien Tsai', 'Dave Wong', 'Sergey Korshkov', 'Alexander Grigorivev', 'Olga Dadukevich', 'Nastya Koshevatskaya', 'Danya Bochkov', 'Sebastian Anton', 'Nastya Karpenko', 'Gerald Lepkowski', ""Luke D'Silva"", 'Daniel Chapple', 'Daniel Smith', 'Ellen Evans', 'Oleg Drach', 'Daniel Fearn', 'Henry Helm']"
Frozen II,2019,Jennifer Lee,103,"['Idina Menzel', 'Kristen Bell', 'Josh Gad', 'Jonathan Groff', 'Sterling K. Brown', 'Evan Rachel Wood', 'Alfred Molina', 'Martha Plimpton', 'Jason Ritter', 'Rachel Matthews', 'Jeremy Sisto', 'Ciarán Hinds', 'Alan Tudyk', 'Hadley Gannaway', 'Mattea Conforti', 'Aurora Aksnes', 'Alan Tudyk', 'Santino Fontana', 'Livvy Stubenrauch', 'Eva Bella', 'Maia Wilson', 'Stephen J. Anderson', 'Paul Briggs', 'Jackson Stein', 'Delaney Rose Stein', 'Halima V. Hudson', 'Isabella Acres', 'Stephen Apostolina', 'Kimberly Bailey', 'David Boat', 'June Christopher', 'Antonio Raul Corbo', 'David Cowgill', 'Wendy Cutler', ""Hudson D'Andrea"", 'Grey DeLisle', 'Jessica DiCicco', 'Terri Douglas', 'Robin Atkin Downes', 'Nick Fisher', 'Jackie Gonneau', 'Franck Gourlat', 'Daniel Kaz', 'Phil LaMarr', 'Arnaud Léonard', 'Mimi Maynard', 'Scott Menville', 'Melanie Minichino', 'Max Mittelman', 'Matt Nolan', 'Capri Oliver', 'Arthur Ortiz', 'Paul Pape', 'Michael Ralph', 'Akai Robinson', 'Lynwood Robinson', 'Maddix Robinson', 'Kaitlyn Robrock', 'Violet Grace Schaffer', 'Pepper Sweeney', 'Fred Tatasciore', 'Jean-Alain Velardo', 'Kari Wahlgren', 'Matthew Wood']"
Blazing Saddles,1974,Mel Brooks,93,"['Cleavon Little', 'Gene Wilder', 'Slim Pickens', 'Harvey Korman', 'Madeline Kahn', 'Mel Brooks', 'Burton Gilliam', 'Alex Karras', 'David Huddleston', 'Liam Dunn', 'John Hillerman', 'George Furth', 'Jack Starrett', 'Carol Arthur', 'Richard Collier', 'Charles McGregor', 'Robyn Hilton', 'Don Megowan', 'Dom DeLuise', 'Count Basie', 'John Alderson', 'Don Ames', 'Tom Anfinsen', 'David Armstrong', 'Denny Arnold', 'Benjie Bancroft', 'Herman Boden', 'Jimmie Booth', 'Nick Borgani', 'Alex Brown', 'Jerry Brown', 'Loren Brown', 'Eldon Burke', 'Stephen Burnette', 'David Cadiente', 'Patrick Campbell', 'Bart Carroll', 'Bill Catching', 'Ray Chabeau', 'Donald Chaffin', 'Dick Cherney', 'Jack R. Clinton', 'Aneta Corsaut', 'Dick Crockett', 'George Dockstader', 'Ross Dollarhide', 'Randy Doney', 'Alphonso DuBois', 'Ken DuMain', 'Hobert Durham Jr.', 'Stewart East', 'Daniel Elam', 'Kenny Endoso', 'Elly Enriquez', 'Richard Farnsworth', 'Fred Fisher', 'Bob Folkerson', 'Abel Franco', 'Ben Frommer', 'John Furlong', 'Rick Garcia', 'Laura Gile', 'Seamon Glass', 'Betty Jeanne Glennie', 'Cecil Gold', 'Chuck Hayward', 'Bud Hazlett', 'Francine Henderson', 'George Hickman', 'Robert Hitchcock', 'George Holmes', 'Kal Isaacs', 'Kathryn Janssen', 'Rosemary Johnston', 'Madge Journeay', 'M.J. Kane', 'Ron Kinwald', 'Sally Kirkland', 'Patrick Labyorteaux', 'Richard LaMarr', 'Tex Lambert', 'Jack Lilley', 'Craig Littler', 'Jay Loft-Lynn', 'Karl Lukas', 'Bert Madrid', 'Ralph Manza', 'Jimmy Martinez', 'Bert May', 'Fred McDougall', 'Rod McGaughy', 'Bill McIntosh', 'Clyde McLeod', 'Troy Melton', 'Ira Miller', 'Jessamine Milner', 'Richard Monahan', ""Boyd 'Red' Morgan"", 'Beans Morocco', 'Hal Needham', 'Daniel Nunez', ""Monty O'Grady"", 'Harvey Parry', 'Jack Perkins', 'Alan Peterson', 'Tom Pittman', 'Anthony Redondo', 'Booty Reed', 'Tony Regan', ""Danny 'Big Black' Rey"", 'Robert Ridgely', 'Rodney Allen Rippy', 'Al Roberts', 'Arnold Roberts', 'Hank Robinson', 'Victor Romito', 'Clark Ross', 'Darrell Sandeen', 'Danny Sands', 'George Sawaya', 'Fred Scheiwiller', 'David Sharpe', 'June Smaney', 'Eddie Smith', 'Roy Smith', 'Paul Stader', 'Tom Steele', 'Tim Sullivan', 'Jerry Summers', 'Jim Taylor', 'George Tracy', 'Jerry Trent', 'Frankie Van', 'Richard Vitagliano', 'Al Ward', 'Dick Warlock', 'Janice Whitby', 'Joe Yrigoyen', 'Bill Zuckert']"
Scary Movie,2000,Keenen Ivory Wayans,88,"['Anna Faris', 'Jon Abrahams', 'Marlon Wayans', 'Shawn Wayans', 'Regina Hall', 'Shannon Elizabeth', 'Cheri Oteri', 'Carmen Electra', 'Tanja Reichert', 'Lochlyn Munro', 'Dave Sheridan', 'Kurt Fuller', 'Rick Ducommun', 'Keenen Ivory Wayans', 'Marissa Jaret Winokur', 'Dan Joffre', 'Lloyd Berry', 'David L. Lander', 'Kelly Coffield Park', 'Trevor Roberts', 'Jayne Trcka', 'Karen Kruper', 'Kendall Saunders', 'Glynis Davies', 'Jessica Van der Veen', 'Jennifer Ann Lee', 'Frank B. Moore', 'Giacomo Baessato', 'Kyle Graham', 'Leanne Santos', 'Mark McConchie', 'Matthew Paxman', 'Chris Robson', 'Susan Shears', 'Peter Bryant', 'Andrea Nemeth', 'Craig Bruhnanski', 'Reg Tupper', 'Babe Dolan', 'David Neale', 'Nels Lennarson', 'Nicola Crosbie', 'Ian Bliss', 'Chris Wilding', 'Peter Hanlon', 'Ted Cole', 'Doreen Ramus', 'Lee R. Mayes', 'Mark Hoeppner', 'Jim Shepard', 'Dexter Bell', 'Ted Gill', 'Andrew Keilty', 'James Van Der Beek', 'Johnny Hawkes', 'Kevin Hansen', 'Art Hives', 'Bruce Mahler', 'Zahf Paroo', 'Aubrey Tennant']"
Escape from New York,1981,John Carpenter,99,"['Kurt Russell', 'Lee Van Cleef', 'Ernest Borgnine', 'Donald Pleasence', 'Isaac Hayes', 'Season Hubley', 'Harry Dean Stanton', 'Adrienne Barbeau', 'Tom Atkins', 'Charles Cyphers', 'Frank Doubleday', 'John Strobel', 'George Buck Flower', 'John Cothran', 'Nancy Stephens', 'Steven Ford', 'John Carpenter', 'Jamie Lee Curtis', 'Nick Castle', 'Debra Hill', 'Ox Baker', 'Joe Unger', 'Garrett Bergfeld']"
Fear and Desire,1953,Stanley Kubrick,62,"['Frank Silvera', 'Kenneth Harp', 'Paul Mazursky', 'Stephen Coit', 'Virginia Leith', 'David Allen']"
The Big Sick,2017,Michael Showalter,120,"['Kumail Nanjiani', 'Zoe Kazan', 'Holly Hunter', 'Ray Romano', 'Anupam Kher', 'Zenobia Shroff', 'Adeel Akhtar', 'Bo Burnham', 'Aidy Bryant', 'Kurt Braunohler', 'Vella Lovell', 'Myra Lucretia Taylor', 'Jeremy Shamos', 'David Alan Grier', 'Ed Herbstman', 'Shenaz Treasury', 'Rebecca Naomi Jones', 'Kuhoo Verma', 'Mitra Jouhari', 'Celeste Arias', 'Shana Solomon', 'Jeff Blumenkrantz', 'Linda Emond', 'Holly Chou', 'Andrew Pang', 'Alison Cimmet', 'Lawrence Ballard', 'Shunori Ramanathan', 'Spencer House', 'Susham Bedi', 'Rahul Bedi', 'Matthew Cardarople', 'Myra Turley', 'William Stephenson', 'Marilyn Torres', 'Kerry Flanagan', ""Jack O'Connell"", 'Charles Gould', 'Isabel Shill', 'Lauren Patten', 'Keilly McQuail', 'Zach Cherry', 'Jack Corrigan', 'Sophia Muller']"
The Evil Dead,1981,Sam Raimi,85,"['Bruce Campbell', 'Ellen Sandweiss', 'Richard DeManincor', 'Betsy Baker', 'Theresa Tilly', 'Philip A. Gillis', 'Cheryl Guttridge', 'Ted Raimi', 'Ivan Raimi', 'Bill Vincent', 'John Cameron', 'Scott Spiegel', 'Dorothy Tapert', 'Barbara Carey', 'David Horton', 'Wendall Thomas', 'Don Long', 'Stu Smith', 'Kurt Rauf', 'Mary Beth Tapert', 'Joanne Kruse', 'Gwen Cochanski', 'Debie Jarczewski', 'Sam Raimi', 'Josh Becker', 'Bob Dorian', 'Tom Sullivan', 'Robert Tapert']"
Doctor Sleep,2019,Mike Flanagan,152,"['Ewan McGregor', 'Kyliegh Curran', 'Rebecca Ferguson', 'Cliff Curtis', 'Zahn McClarnon', 'Emily Alyn Lind', 'Selena Anduze', 'Robert Longstreet', 'Carel Struycken', 'Katie Parker', 'Jamie Flanagan', 'Met Clark', 'Zackary Momoh', 'Jocelin Donahue', 'Dakota Hickman', 'Carl Lumbly', 'Henry Thomas', 'Bruce Greenwood', 'Sallye Hooks', 'Alex Essoe', 'Roger Dale Floyd', 'George Mengert', 'Jacob Tremblay', 'Chelsea Talmadge', 'Violet McGraw', 'Bethany Anne Lind', 'Nicholas Pryor', 'Deadra Moore', 'Jason Davis', 'Alyssa Gonzalez', 'Shane Brady', 'Danny Lloyd', 'Michael Monks', 'Hugh Maguire', 'Sadie Heim', 'Kk Heim', 'Mistie Gibby', 'Callie McClincy', 'Logan Medina', 'Johnnie Gordon', 'Molly C. Quinn', 'Evan Dumouchel', 'MacLeod Andrews', 'Fedor Steer', 'Charles Green', 'Marc Farley', 'Juan Carlos Romero Perez', 'Sarah Morrison', 'Juan Gaspard', 'Esteban Cueto', 'Marc Demeter', 'Jay D. Kacho', 'J.T. Blair', 'Kevin Petruski Jr.', 'Thomas Downing', 'Scott Lane', 'Jeremy Connell', 'Shawndella Roberts', 'Kaitlyn McCormick']"
WHAT DID JACK DO?,2017,David Lynch,17,"['Jack Cruz', 'David Lynch', 'Toototabon', 'Emily Stofle']"
Paths of Glory,1957,Stanley Kubrick,88,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready', 'Wayne Morris', 'Richard Anderson', 'Joe Turkel', 'Christiane Kubrick', 'Jerry Hausner', 'Peter Capell', 'Emile Meyer', 'Bert Freed', 'Kem Dibbs', 'Timothy Carey', 'Fred Bell', 'John Stein', 'Harold Benedict', 'Paul Bös', 'James B. Harris']"
Stop Making Sense,1984,Jonathan Demme,88,"['David Byrne', 'Tina Weymouth', 'Jerry Harrison', 'Chris Frantz', 'Bernie Worrell', 'Alex Weir', 'Steven Scales', 'Ednah Holt', 'Lynn Mabry']"
Tangerine,2015,Sean Baker,87,"['Kitana Kiki Rodriguez', 'Mya Taylor', 'Karren Karagulian', ""Mickey O'Hagen"", 'James Ransone', 'Alla Tumanian', 'Luiza Nersisyan', 'Arsen Grigoryan', 'Ian Edwards', 'Scott Krinsky', 'Clu Gulager', 'Shih-Ching Tsou', 'Josh Sussman', 'Ana Foxxx', 'Chelcie Lynn', 'Jason Stuart', 'John Gulager', 'Graham Mackie', 'Chris Bergoch']"
Misery,1990,Rob Reiner,107,"['James Caan', 'Kathy Bates', 'Richard Farnsworth', 'Frances Sternhagen', 'Lauren Bacall', 'Graham Jarvis', 'Jerry Potter', 'Thomas Brunelle', 'June Christopher', 'Julie Payne', 'Archie Hahn', 'Gregory Snegoff', 'Wendy Bowers', 'Misery the Pig', 'John Michael Quinn', 'Rob Reiner', 'J.T. Walsh', 'Jay Dee Witney']"
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,Mike Diva,30,"['Andy Samberg', 'Akiva Schaffer', 'Jorma Taccone', 'Hannah Simone', 'Jenny Slate', 'Sterling K. Brown', ""Jim O'Heir"", 'Maya Rudolph', 'Stephanie Beatriz', 'Este Haim', 'Alana Haim', 'Danielle Haim', 'Whitney Moore', 'Dave Faulkner', 'Ben Perez', 'Dan Wicksman', 'Denise Weintraub', 'Trinity Chanel', 'Sis Gold', 'Kyla Billings', 'Britta Grant', 'Jonetta Kaiser', 'Julia Nolan', 'Jeff Torres', 'Ryan Nemeth', 'Tory Taranova']"
Paddington 2,2017,Paul King,104,"['Ben Whishaw', 'Hugh Bonneville', 'Sally Hawkins', 'Samuel Joslin', 'Madeleine Harris', 'Julie Walters', 'Brendan Gleeson', 'Hugh Grant', 'Peter Capaldi', 'Jim Broadbent', 'Simon Farnaby', 'Imelda Staunton', 'Michael Gambon', 'Ben Miller', 'Sanjeev Bhaskar', 'Joanna Lumley', 'Richard Ayoade', 'Nicholas Woodeson', 'Tom Conti', 'Eileen Atkins', 'Marie-France Alvarez', 'Jessica Hynes', 'Noah Taylor', 'Shola Adewusi', 'Nadine Marshall', 'Michael Mears', 'Louis Partridge', 'Robbie Gee', 'Enzo Squillino Jr.', 'Sam Payne', 'Catherine Shepherd', 'Claire Keelan', 'Meera Syal', 'Geoffrey Lumb', 'Alex Jordan', 'Kobna Holdbrook-Smith', 'Virgile Elana', 'Emeson Nwolie', 'Nicholas Lumley', 'Stephen McDade', 'Deepak Anand', 'Cal McCrystal', 'Aaron Neil', 'Geoff Banks', 'Tom Davis', 'Jamie Demetriou', 'Stewart Gilchrist', 'Justin Edwards', 'Kya Garwood', 'Maggie Steed', 'Tim Fitzhigham', 'Joel Fry', 'David J Biscoe', 'Dan Antopolski', 'Gus Brown', 'David Sant', 'Jennie Legat', 'John Shearer', 'Hiten Patel', 'Jag Patel']"
Jumping Ship,2001,Michael Lange,92,"['Joey Lawrence', 'Matthew Lawrence', 'Andrew Lawrence', 'Stephen Collins', 'Jaime Passier-Armstrong', 'Susan Walters']"
Hail Caesar!,2016,Ethan Coen,106,"['Josh Brolin', 'George Clooney', 'Alden Ehrenreich', 'Ralph Fiennes', 'Scarlett Johansson', 'Tilda Swinton', 'Channing Tatum', 'Frances McDormand', 'Jonah Hill', 'Veronica Osorio', 'Heather Goldenhersh', 'Alison Pill', 'Max Baker', 'Fisher Stevens', 'Patrick Fischler', 'Tom Musgrave', 'David Krumholtz', 'Greg Baldwin', 'Patrick Carroll', 'Fred Melamed', 'John Bluthal', 'Alex Karpovsky', 'Armazd Stepanian', 'Allan Havey', 'Robert Pike Daniel', 'Robert Picardo', 'Ian Blackman', 'Geoffrey Cantor', 'Christopher Lambert', 'Robert Trebor', 'Michael Yama', 'Ming Zhao', 'Helen Siff', 'Basil Hoffman', 'Luke Spencer Roberts', 'Ralph P. Martin', 'James Austin Johnson', 'Noah Baron', 'Timm Perry', 'Noel Conlon', 'Natasha Bassett', 'Richard Abraham', 'Jon Daly', 'Dennis Cockrum', 'Clancy Brown', 'Mather Zickel', 'Tiffany Lonsdale', 'Clement von Franckenstein', 'Wayne Knight', 'Jeff Lewis', 'Kyle Bornheimer', 'Josh Cooke', 'Peter Jason', 'Stephen Ellis', 'Jillian Armenante', 'Jacob Witkin', 'Jack Huston', 'Agyness Deyn', 'Emily Beecham', 'Benjamin Beatty', 'J.R. Horne', 'Caitlin Muelder', 'E.E. Bell', 'Kate Morgan Chadwick', 'Brian Michael Jones', 'Peter Banifaz', 'Clifton Samuels', 'K.C. Reischerl', 'Jeremy Davis', 'Marcos Ochoa', 'Colin Bradbury', 'Ryan Breslin', 'Tyler Hanes', 'Casey Garvin', 'Luke Hawkins', 'Evan Kasprzak', 'Patrick Lavallee', 'Adam Perry', 'Ryan VanDenBoom', 'Alex Demkin', 'Dax Hock', 'Shesha Marvin', 'Mark Stuart', 'Forrest Walsh', 'Michael Gambon', 'Tomoko Karina', 'Dolph Lundgren', 'Dean England', 'Sandy Mansson', 'Jessee Foudray', 'Ryan Izay', 'Johnny Otto', 'Sergio Kato']"
Yesterday,2019,Danny Boyle,116,"['Himesh Patel', 'Lily James', 'Joel Fry', 'Ed Sheeran', 'Kate McKinnon', 'Sanjeev Bhaskar', 'Meera Syal', 'Harry Michell', 'Sophia Di Martino', 'Sarah Lancashire', 'Justin Edwards', 'Alexander Arnold', 'Lamorne Morris', 'James Corden', 'Michael Kiwanuka', 'Robert Carlyle', 'Karl Theobald', 'Vincent Franklin', 'Ellise Chappell', 'Camilla Rutherford', 'Elizabeth Berrington', 'Cristina Dohmen', 'Hiten Patel', 'Dominic Coleman', 'Karma Sood']"
Tangled: Before Ever After,2017,Tom Caulfield,55,"['Mandy Moore', 'Zachary Levi', 'Eden Espinosa', 'Clancy Brown', 'Julie Bowen', 'Laura Benanti', 'Jeffrey Tambor', 'M.C. Gainey', 'Sean Hayes', 'Diedrich Bader', 'Jess Harnell', 'Kevin Michael Richardson', 'Alan Dale', 'Dee Bradley Baker', 'Mary Elizabeth McGlynn', 'Kari Wahlgren', 'Gideon Emery', 'Steve Blum']"
Kim Possible,2019,Adam B. Stein,86,"['Sadie Stanley', 'Sean Giambrone', 'Ciara Riley Wilson', 'Taylor Ortega', 'Connie Ray', 'Issac Ryan Brown', 'Erika Tham', 'Todd Stashwick', 'Maxwell Simkins', 'Alyson Hannigan', 'Matt Clarke', 'Owen Fielding', 'Connor Fielding', 'Michael P. Northey', 'Patrick Sabongui', 'Cedric Ducharme', 'Christy Carlson Romano', 'Nancy Cartwright', 'Patton Oswalt']"
You Lucky Dog,1998,Paul Schneider,88,"['Kirk Cameron', 'Chelsea Noble', 'John de Lancie', 'Christine Healy', 'Taylor Negron', 'James Avery', 'Jane Carr', 'Mary Pat Gleason']"
Z-O-M-B-I-E-S 2,2020,Paul Hoen,84,"['Milo Manheim', 'Meg Donnelly', 'Trevor Tordjman', 'Kylee Russell', 'Carla Jeffery', 'Chandler Kinney', 'Pearce Joza', 'Ariel Martin', 'Kingston Foster', 'James Godfrey', 'Naomi Snieckus', 'Tony Nappo', 'Jasmine Renée Thomas', 'Emilia McCarthy', 'Noah Zulfikar', 'Ajanae Stephenson', 'Paul Hopkins', 'Marie Ward', 'Jonathan Langdon', 'Dan Darin Zanco', 'Avery Brunson']"
Moulin Rouge!,2001,Baz Luhrmann,128,"['Nicole Kidman', 'Ewan McGregor', 'John Leguizamo', 'Jim Broadbent', 'Richard Roxburgh', 'Garry McDonald', 'Jacek Koman', 'Matthew Whittet', 'Kerry Walker', ""Caroline O'Connor"", 'Christine Anu', 'Natalie Mendoza', 'Lara Mulcahy', 'David Wenham', 'Kylie Minogue', 'Ozzy Osbourne', 'Deobia Oparei', 'Linal Haft', 'Keith Robinson', 'Peter Whitford', 'Norman Kaye', 'Arthur Dignam', 'Carole Skinner', 'Jonathan Hardy', 'Plácido Domingo', 'Kiruna Stamell', 'Anthony Young', 'Dee Donavan', 'Johnny Lockwood', 'Don Reid', 'Tara Morice', 'Daniel Scott', 'Veronica Beattie', 'Lisa Callingham', 'Rosetta Cook', 'Fleur Denny', 'Kelly Grauer', 'Jaclyn Hanson', 'Michelle Hopper', 'Fallon King', 'Wendy McMahon', 'Tracie Morley', 'Sue-Ellen Shook', 'Jenny Wilson', 'Luke Alleva', 'Andrew Aroustian', 'Stephen Colyer', 'Steve Grace', 'Mark Hodge', 'Cameron Mitchell', 'Deon Nuku', 'Shaun Parker', 'Troy Phillips', 'Rodney Syaranamual', 'Ashley Wallen', 'Nathan Wright', 'Susan Black', 'Nicole Brooks', 'Danielle Brown', 'Anastacia Flewin', 'Fiona Gage', 'Alex Harrington', 'Camilla Jakimowicz', 'Rochelle Jones', 'Caroline Kaspar', 'Mandy Liddell', 'Melanie Mackay', 'Elise Mann', 'Charmaine Martin', 'Michelle Wriggles', 'Michael Boyd', ""Lorry D'Ercole"", 'Michael Edge', 'Glyn Gray', 'Craig Haines', 'Stephen Holford', 'Jamie Jewell', 'Jason King', 'Ryan Males', 'Harlin Martin', 'Andrew Micallef', 'Jonathan Schmölzer', 'Bradley Spargo', ""Joseph 'Pepe' Ashton"", 'Jordan Ashton', 'Marcos Falagan', 'Mitchel Falagan', 'Chris Mayhew', 'Hamish McCann', 'Adrien Janssen', 'Shaun Holloway', 'Darren Dowlut', 'Dennis Dowlut', 'Pina Conti', 'Nandy McClean', 'Maya McClean', 'Patrick Harding-Irmer', 'Albin Pahernik', 'Aurel Verne', 'Kip Gamblin', 'Wilson Alcorn', 'Kerry Casey', 'Peter Collingwood', 'Cass Cumerford', 'Matthew Dale', 'Brenda De Lacy', 'Eliana Dona', 'Nash Edgerton', 'Coralie Eichholtz', 'Tim Elliott', 'Pat Evans', 'Nicole Fantl', 'Sandi Finlay', 'Waldo Garrido', 'Scott Gregory', 'Kahlia Greksa', 'Karinna Greksa', 'Trent Harlow', 'Troy Harrison', 'Geoffrey Kiem', 'Harold Kissin', 'Ian Lind', 'Tony Lynch', 'Angus Martin', 'Liliya May', 'Paul Maybury', 'Scott Peters', 'Chris Pickard', 'Greg Poppleton', 'Brett Praed', 'Thern Reynolds', 'Greg Robinson', 'David Scotchford', 'Neeraj Singh', 'Sotiri Sotiropoulos', 'David Whitford', 'Matt Wilson']"
Aliens,1986,James Cameron,137,"['Sigourney Weaver', 'Michael Biehn', 'Lance Henriksen', 'Bill Paxton', 'Jenette Goldstein', 'Carrie Henn', 'Paul Reiser', 'Mark Rolston', 'William Hope', 'Al Matthews', 'Colette Hiller', 'Ricco Ross', 'Daniel Kash', 'Cynthia Dale Scott', 'Tip Tipping', 'Trevor Steedman', 'Paul Maxwell', 'Valerie Colgan', 'Alan Polonsky', 'Alibe Parsons', 'Blain Fairman', 'Barbara Coles', 'Carl Toop', 'John Lees', 'Mac McDonald', 'William Armstrong', 'Holly De Jong', 'Eddie Powell', 'Jill Goldston', 'Jay Benedict', 'Elizabeth Inglis', 'Stuart Milligan', 'Bob Sherman', 'Chris Webb', 'Tom Woodruff Jr.', 'Alec Gillis']"
The End of the Tour,2015,James Ponsoldt,106,"['Jason Segel', 'Jesse Eisenberg', 'Mamie Gummer', 'Mickey Sumner', 'Johnny Otto', 'Anna Chlumsky', 'Joan Cusack', 'Becky Ann Baker', 'Ron Livingston', 'Stephanie Cotton', 'Dan John Miller', 'Noel Fletcher', 'Michael J. Stalmer', 'Punnavith Koy', 'Ben Phelps', 'Joel Thingvall', 'Ryan J. Gilmer', 'Alan Holasek']"
The Thirteenth Year,1999,Duwayne Dunham,95,"['Chez Starbuck', 'Justin Jon Ross', 'Courtnee Draper', 'Dave Coulier', 'Kristen Stewart', 'Tim Redwine', 'Brian Haley', 'Stephanie Chantel Durelli', 'Richard Tanner', 'Regan Burns']"
Smart House,1999,LeVar Burton,82,"['Katey Sagal', 'Ryan Merriman', 'Katie Volding', 'Kevin Kilner', 'Jessica Steen', 'Emilio Borelli', 'Paul Linke', 'Jason Lansing', 'Joshua Boyd', 'Raquel Beaudene', 'Niles Calloway', 'Rachel Duncan', 'Susan Haskell']"
