Name,Year,Rating,Date
The Muppet Christmas Carol,1992,4,12/22/2020
The Good Dinosaur,2015,2.5,12/23/2020
Shadow,2018,3,12/23/2020
Dr. Seuss' The Grinch Musical,2020,0.5,12/23/2020
Black Bear,2020,4.5,12/24/2020
Bad Education,2019,4,12/24/2020
Mickey's Once Upon a Christmas,1999,4.5,12/24/2020
Klaus,2019,4,12/25/2020
Soul,2020,3.5,12/25/2020
Home Alone,1990,4,12/25/2020
Home Alone 2: Lost in New York,1992,3.5,12/25/2020
Alex Wheatle,2020,3,12/26/2020
Education,2020,3.5,12/26/2020
Ma Rainey's Black Bottom,2020,3,12/26/2020
Shirley,2020,4,12/26/2020
Dick Johnson Is Dead,2020,4,12/26/2020
Scoob!,2020,1,12/27/2020
Possessor,2020,4,12/27/2020
I'm Thinking of Ending Things,2020,5,12/27/2020
Another Round,2020,4,12/28/2020
She Dies Tomorrow,2020,2.5,12/28/2020
Labyrinth,1986,3.5,12/29/2020
Wendy,2020,2,12/29/2020
Disclosure,2020,3.5,12/30/2020
Kajillionaire,2020,4.5,12/30/2020
Sorry We Missed You,2019,4.5,12/31/2020
Tenet,2020,3,12/31/2020
Female Trouble,1974,4.5,1/1/2021
Ratatouille: The TikTok Musical,2021,3.5,1/2/2021
Anastasia,1997,4,1/3/2021
Stop Making Sense,1984,5,1/4/2021
Wolfwalkers,2020,4,1/5/2021
Collective,2019,4.5,1/5/2021
Beastie Boys Story,2020,4,1/6/2021
Rabbits,2002,4,1/9/2021
Repo Man,1984,3.5,1/9/2021
Fictitious Anacin Commercial,1967,,1/10/2021
Sailing with Bushnell Keeler,1967,,1/10/2021
Absurd Encounter with Fear,1967,,1/10/2021
The Cowboy and the Frenchman,1988,3,1/10/2021
2001: A Space Odyssey,1968,4.5,1/10/2021
Day of the Fight,1951,2,1/11/2021
Flying Padre,1951,2,1/11/2021
The Seafarers,1953,2.5,1/11/2021
Jour de fête,1949,4,1/12/2021
Run,2020,2,1/12/2021
